"progcode","progdesc"
BSEE,BACHELOR OF SCIENCE IN ELECTRICAL ENGINEERING
BSINFOTECH,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
BSHM,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
BSTM,BACHELOR OF SCIENCE IN TOURISM MANAGEMENT
BSA,BACHELOR OF SCIENCE IN ACCOUNTANCY
BSBA-MM,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
BSEntrep,BACHELOR OF SCIENCE IN ENTREPRENEURSHIP
BS IndTech ADT,BACHELOR OF SCIENCE IN INDUSTRIAL TECHNOLOGY MAJOR IN ARCHITECTURAL DRAFTING TECHNOLOGY
BS IndTech AT,BACHELOR OF SCIENCE IN INDUSTRIAL TECHNOLOGY MAJOR IN AUTOMOTIVE TECHNOLOGY
BS IndTech CCT,BACHELOR OF SCIENCE IN INDUSTRIAL TECHNOLOGY MAJOR IN CIVIL AND CONSTRUCTION TECHNOLOGY
BS IndTech ELT,BACHELOR OF SCIENCE IN INDUSTRIAL TECHNOLOGY MAJOR IN ELECTRICAL TECHNOLOGY
BS IndTech ELX,BACHELOR OF SCIENCE IN INDUSTRIAL TECHNOLOGY MAJOR IN ELECTRONICS TECHNOLOGY
BS IndTech FSM,BACHELOR OF SCIENCE IN INDUSTRIAL TECHNOLOGY MAJOR IN FOOD AND SERVICE MANAGEMENT
BS IndTech GFD,"BACHELOR OF SCIENCE IN INDUSTRIAL TECHNOLOGY MAJOR IN GARMENTS, FASHION AND DESIGN"
BS IndTech WFT,BACHELOR OF SCIENCE IN INDUSTRIAL TECHNOLOGY MAJOR IN WELDING AND FABRICATION TECHNOLOGY
BTVTEd AT,BACHELOR OF TECHNICAL VOCATIONAL TEACHER EDUCATION MAJOR IN AUTOMOTIVE TECHNOLOGY
BTVTEd CCT,BACHELOR OF TECHNICAL VOCATIONAL TEACHER EDUCATION MAJOR IN CIVIL AND CONSTRUCTION TECHNOLOGY
BTLEd IA,BACHELOR OF TECHNOLOGY AND LIVELIHOOD EDUCATION MAJOR IN INDUSTRIAL ARTS
BTLEd HE,BACHELOR OF TECHNOLOGY AND LIVELIHOOD EDUCATION MAJOR IN HOME ECONOMICS
HS,LABORATORY HIGH SCHOOL
GCC,Guidance
BSMA,BACHELOR OF SCIENCE IN MANAGEMENT ACCOUNTING
BSOA,BACHELOR OF SCIENCE IN OFFICE ADMINISTRATION
BTVTEd ADT,BACHELOR OF TECHNICAL VOCATIONAL TEACHER EDUCATION MAJOR IN ARCHITECTURAL DRAFTING TECHNOLOGY
BTVTEd ELT,BACHELOR OF TECHNICAL VOCATIONAL TEACHER EDUCATION MAJOR IN ELECTRICAL TECHNOLOGY
BTVTEd ELX,BACHELOR OF TECHNICAL VOCATIONAL TEACHER EDUCATION MAJOR IN ELECTRONICS TECHNOLOGY
BTVTEd WFT,BACHELOR OF TECHNICAL VOCATIONAL TEACHER EDUCATION MAJOR IN WELDING AND FABRICATION TECHNOLOGY
BSCpE,BACHELOR OF SCIENCE IN COMPUTER ENGINEERING
BSBA-FM,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
EET,ELECTRICAL ENGINEERING TECHNOLOGY
Senior HS,SENIOR HIGH SCHOOL
BSBA-HRM,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN HUMAN RESOURCE MANAGEMENT
BTVTEd FSM,BACHELOR OF TECHNICAL VOCATIONAL TEACHER EDUCATION MAJOR IN FOOD AND SERVICE MANAGEMENT
BTVTEd GFDT,"BACHELOR OF TECHNICAL VOCATIONAL TEACHER EDUCATION MAJOR IN GARMENTS, FASHION AND DESIGN"
BSFBSM,BACHELOR OF SCIENCE IN FOOD AND BEVERAGE SERVICE MANAGEMENT
MAEd,MASTER OF ARTS IN EDUCATION MAJOR IN EDUCATIONAL MANAGEMENT
